Metric,Value,P-value,Low CI 95%,High CI 95%
MSE,0.000656438265190763,NA,NA,NA
R-squared,0.8392364592813082,NA,NA,NA
Coefficient (price_eth),0.0006716633352063263,1.323928705514374e-56,0.0006082746457214788,0.0007350520246911738
Coefficient (market_cap_eth_volume),5.404876961892008,0.03791948831479433,0.30382554002664275,10.505928383757372
Coefficient (volumes_last_24h_eth_volume),-2.911683841266693e-12,0.46923025032936505,-1.0823308427808628e-11,4.999940745275241e-12
Coefficient (avg_stableBorrowRate_eth_rates),9.128021677205126,0.012876519744102309,1.9518557118122004,16.304187642598052
Coefficient (avg_variableBorrowRate_eth_rates),4.046517689003374,0.12960229397683026,-1.1943130050880404,9.287348383094788
Coefficient (avg_supplyRate_eth_rates),-13.5341784149117,0.00020285173551343636,-20.602115738514705,-6.466241091308696
Coefficient (avg_liquidityIndex_eth_rates),209.46257228021835,0.33841994984513646,-220.65754074021913,639.5826853006558
Coefficient (avg_variableBorrowIndex_eth_rates),-589.3536766115164,0.08726723833263524,-1265.485605407534,86.77825218450096
Coefficient (avg_stableBorrowRate_usdc_rates),-1.3654621192354934,0.4159860054601292,-4.666206998391883,1.935282759920896
Coefficient (avg_variableBorrowRate_usdc_rates),1.861034220249509,0.6679394254071767,-6.673253905851293,10.395322346350312
Coefficient (avg_supplyRate_usdc_rates),-0.5965062189742771,0.8654453439228504,-7.522746635286589,6.329734197338036
Coefficient (avg_liquidityIndex_usdc_rates),-47.75243877414465,0.2674255769396075,-132.3680512414501,36.8631736931608
Coefficient (avg_variableBorrowIndex_usdc_rates),40.866710725484374,0.2826163155770587,-33.88185367171304,115.6152751226818
Coefficient (moving_average_7_price_eth),-1.0283000314485616e-05,0.8739147445489077,-0.0001377779612258111,0.00011721196059683988
Coefficient (moving_average_14_price_eth),-0.0009908679977067767,7.249418026068643e-19,-0.0011934941307194455,-0.0007882418646941077
Coefficient (moving_average_21_price_eth),0.0003360646874106584,0.01163271389036559,7.567064385694336e-05,0.0005964587309643735
Coefficient (moving_average_30_price_eth),-4.934090025076094e-05,0.6000136113347099,-0.00023442458533698115,0.00013574278483545927
Coefficient (moving_average_7_volume_eth),2.5401293410938592e-11,0.022750061598676867,3.57220300482221e-12,4.7230383817054975e-11
Coefficient (moving_average_14_volume_eth),-1.1557482795506795e-11,0.574789250819747,-5.2078615894991236e-11,2.8963650303977643e-11
Coefficient (moving_average_21_volume_eth),1.9662496234193184e-11,0.4561415793080573,-3.222256915362308e-11,7.154756162200946e-11
Coefficient (moving_average_30_volume_eth),-1.5041691769236237e-11,0.4568675642413239,-5.4797575096328126e-11,2.4714191557855653e-11
Coefficient (moving_average_7_mc_eth),-2.1519438385091765e-11,0.03844388887012754,-4.188495171260058e-11,-1.1539250575829518e-12
Coefficient (moving_average_14_mc_eth),6.052126787798447e-11,0.03747456701125497,3.53590680676227e-12,1.1750662894920667e-10
Coefficient (moving_average_21_mc_eth),1.2216590329007565e-11,0.037322321712210796,7.230209546663658e-13,2.3710159703348763e-11
Coefficient (moving_average_30_mc_eth),-1.4755456765024588e-10,0.037736631936498205,-2.8668075116295775e-10,-8.428384137534016e-12
Coefficient (avg_stableBorrowRate_eth_rates_ma_7),-24.118022836081682,0.009472550108944431,-42.28436480074406,-5.951680871419303
Coefficient (avg_stableBorrowRate_eth_rates_ma_14),47.37995331904619,0.00536394822343462,14.15929971559553,80.60060692249684
Coefficient (avg_stableBorrowRate_eth_rates_ma_21),-33.67573729008308,0.10712494034513932,-74.69114097018205,7.339666390015893
Coefficient (avg_stableBorrowRate_eth_rates_ma_30),-4.067572188432141,0.8082020379703647,-37.0350119705834,28.89986759371911
Coefficient (avg_variableBorrowRate_eth_rates_ma_7),0.3575587283024877,0.949834899425708,-10.824600684421801,11.539718141026777
Coefficient (avg_variableBorrowRate_eth_rates_ma_14),13.982666457469842,0.13512378867028474,-4.388382624273467,32.35371553921315
Coefficient (avg_variableBorrowRate_eth_rates_ma_21),-16.711594376798374,0.15069806895255725,-39.54472057153525,6.121531817938504
Coefficient (avg_variableBorrowRate_eth_rates_ma_30),-0.7018685038425385,0.9405350267823671,-19.214049687541248,17.810312679856175
Coefficient (avg_supplyRate_eth_rates_ma_7),25.586769079630496,0.009082049013235494,6.422243833597225,44.751294325663764
Coefficient (avg_supplyRate_eth_rates_ma_14),-48.18895239104019,0.01322450261196471,-86.22068536350261,-10.15721941857776
Coefficient (avg_supplyRate_eth_rates_ma_21),42.54048350126292,0.07676317539503406,-4.605081908253844,89.68604891077968
Coefficient (avg_supplyRate_eth_rates_ma_30),3.648719228815292,0.8614075971342224,-37.471382008754915,44.768820466385506
Coefficient (avg_liquidityIndex_eth_rates_ma_7),-671.9353427414619,0.04788643595288866,-1337.5689549637846,-6.3017305191391415
Coefficient (avg_liquidityIndex_eth_rates_ma_14),218.3070611301157,0.3929645366246953,-284.13996017336376,720.7540824335952
Coefficient (avg_liquidityIndex_eth_rates_ma_21),338.46749884999014,0.054853134633009205,-7.092237349395532,684.0272350493758
Coefficient (avg_liquidityIndex_eth_rates_ma_30),-85.10935742707369,0.7347608133264112,-579.3205216735714,409.1018068194241
Coefficient (avg_variableBorrowIndex_eth_rates_ma_7),756.5992132270148,0.059159334439403806,-29.474490531329707,1542.6729169853593
Coefficient (avg_variableBorrowIndex_eth_rates_ma_14),-41.33632403338311,0.8057081143015263,-371.977874069158,289.3052260023918
Coefficient (avg_variableBorrowIndex_eth_rates_ma_21),-219.83505275640547,0.06134790625368829,-450.20468792205713,10.534582409246184
Coefficient (avg_variableBorrowIndex_eth_rates_ma_30),84.44470702620407,0.49566347325773197,-159.30325293183728,328.1926669842454
